Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
ACCMLTD_CHNGS_FV,9884AE08-F04B-1666-EDFC-958E7283DE59,698,,C206EF8A-EF01-0C0A-9AE9-879ACF8B6270,636,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,LNG_SHRT_BLNC_SHT_RCGNSD_SCRTY_PSTN,,,NUMBER,14,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_CR,3FA0F95F-13A5-A492-2F64-0BAA69D3D1BE,699,,7FDE767A-AD5E-EF88-C9BF-1E8A9334889A,585,Y,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,CRDT_FCLTY,,,NUMBER,8,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_CR,D64EFF48-CA63-76D4-972D-7B2EA4866716,700,,F151C8A1-2C69-AA6D-FB35-611A1E075C7E,595,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,DBT_SCRTY_ISSD,,,NUMBER,20,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_CR,2643576D-CE24-FD1A-4666-B68865CFF103,701,,98D345A7-E46F-E979-FC8C-EEE77E454AEE,628,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT,,,NUMBER,42,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_CR,4227D24F-9087-FB0C-BE2B-FC1C312D1001,702,,9D1B6BEB-B5EE-A5F2-EAA3-CEFC8F8B26E3,621,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,INSTRMNT_RL,,,NUMBER,60,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_EXPSR_CR,B1745C46-3667-B9F7-F98B-DB933BA62D64,703,,87BE6312-3EA1-0C71-0B5F-9F648564E0E9,604,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,EXCHNG_TRDBL_DRVTV_PSTN_RL,,,NUMBER,24,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_EXPSR_CR,E24F70E4-1584-B0F9-AC7C-6FEAA1D88375,704,,417DCF97-7498-FB2E-2339-96E5BA8A32B1,649,Y,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,PRPRTY_PLNT_EQPMNT_TKN_PSSSSN,,,NUMBER,13,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_EXPSR_CR,1777E247-E465-2723-6397-BEC77680396D,705,,812C7ACF-7E52-5435-F84E-E869527999D4,624,Y,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,INVSTMNT_PRPRTY_TKN_PSSSSN,,,NUMBER,11,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_EXPSR_CR,0E24408E-3D6A-77C2-00A3-6BA09AE6168B,706,,9D1B6BEB-B5EE-A5F2-EAA3-CEFC8F8B26E3,621,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,INSTRMNT_RL,,,NUMBER,61,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CHNGS_FV_EXPSR_CR,8B58C3C7-E68D-70A6-BDC9-25A43B548FF3,707,,A333198F-E806-6D21-B40D-E348ABC0BC8A,630,N,Domain,,N,,,,14C89E8C-F57F-4505-832D-C97676924FD1,322,LOGDT026,522,,,,,,,,,Y,Positive and negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT_TKN_PSSSN,,,NUMBER,16,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,2,
ACCMLTD_CVRG_RT,EC406E47-5A47-B2AB-9A2C-F80A9BB8327E,708,,78FCD9B0-DDAB-965F-8D1B-8493C2DE8AE4,614,N,Domain,,N,,,,8100266E-F750-48D0-B98A-821400187560,359,LOGDT026,522,,,,,,,,,Y,Real numbers from 0 to 1 with 6 decimals,DECIMAL,,,,N,Y,INSTRMNT,,,NUMBER,25,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_CVRG_RT,F835693E-21C1-EA49-C782-901F6BD6F2DE,709,,98D345A7-E46F-E979-FC8C-EEE77E454AEE,628,N,Domain,,N,,,,8100266E-F750-48D0-B98A-821400187560,359,LOGDT026,522,,,,,,,,,Y,Real numbers from 0 to 1 with 6 decimals,DECIMAL,,,,N,Y,LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT,,,NUMBER,43,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_EQT_INTRST,130867F3-8142-83A3-8CBC-7293A7F8068B,710,,C3AECAB7-CE75-C794-A01A-E8E368A87F7B,669,Y,Domain,,N,,,,8100266E-F750-48D0-B98A-821400187560,359,LOGDT026,522,,,,,,,,,Y,Real numbers from 0 to 1 with 6 decimals,DECIMAL,,,,N,Y,SBSDRY_JNT_VNTR_ASSCT_OTHR_ORGNSTN_ASSGNMNT,,,NUMBER,8,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_IMPRMNT,ECEC6A88-868C-0E07-0F9E-4A9565DEEF60,711,,98D345A7-E46F-E979-FC8C-EEE77E454AEE,628,N,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,265,LOGDT026,522,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT,,,NUMBER,29,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_IMPRMNT,690816A3-4B84-4C2B-2226-D96B8F9325C1,712,,9D1B6BEB-B5EE-A5F2-EAA3-CEFC8F8B26E3,621,N,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,265,LOGDT026,522,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,INSTRMNT_RL,,,NUMBER,62,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_NGTV_VL_ADJSTMNT_CR,138543B6-09A5-D961-2A24-78BCF988A240,713,,7FDE767A-AD5E-EF88-C9BF-1E8A9334889A,585,Y,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,265,LOGDT026,522,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,CRDT_FCLTY,,,NUMBER,9,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_NGTV_VL_ADJSTMNT_CR,C38C88AA-BAD0-3257-0998-CC0E9AAEE4B1,714,,98D345A7-E46F-E979-FC8C-EEE77E454AEE,628,N,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,265,LOGDT026,522,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT,,,NUMBER,30,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_NGTV_VL_ADJSTMNT_CR,81B34632-EEB2-DA04-76A0-2208C1385A59,715,,9D1B6BEB-B5EE-A5F2-EAA3-CEFC8F8B26E3,621,N,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,265,LOGDT026,522,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,INSTRMNT_RL,,,NUMBER,63,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
ACCMLTD_NGTV_VL_ADJSTMNT_MR,45ECCF77-44A0-AB49-C237-7D1625058BC8,716,,7FDE767A-AD5E-EF88-C9BF-1E8A9334889A,585,Y,Domain,,N,,,,FAA20A39-31D6-458E-8297-A7FD01A6501F,265,LOGDT026,522,,,,,,,,,Y,Non-negative monetary amounts with 2 decimals,DECIMAL,,,,N,Y,CRDT_FCLTY,,,NUMBER,10,4146278C-4654-567E-9F7B-2C4CFE27A753,573,Enriched Input Layer 6.7,,,
