MAINTENANCE_AGENCY_ID,MAPPING_ID,NAME,MAPPING_TYPE,CODE,ALGORITHM,MEMBER_MAPPING_ID,VARIABLE_MAPPING_ID
ECB,DPM_BAS_MCY_CNO_MCI_RPR,"Mapping of Base, Main category, Controlling and non-controlling owners, Main category provided of Investee, Related parties/Relationships",E,DPM_BAS_MCY_CNO_MCI_RPR,,DPM_BAS_MCY_CNO_MCI_RPR,DPM_BAS_MCY_CNO_MCI_RPR
ECB,DPM_MCY_RES,Mapping of Main category,E,DPM_MCY_RES,,DPM_MCY_RES,DPM_MCY_RES
ECB,DPM_GTR,Mapping of Guarantor,E,DPM_GTR,,DPM_GTR,DPM_GTR
ECB,DPM_COM,Mapping of Type of financial interconnection,E,DPM_COM,,DPM_COM,DPM_COM
ECB,DPM_BAS_MCY_RES,"Mapping of Base, Main category",E,DPM_BAS_MCY_RES,,DPM_BAS_MCY_RES,DPM_BAS_MCY_RES
ECB,DPM_VDF,Mapping of Factors considered in the valuation of derivatives,E,DPM_VDF,,DPM_VDF,DPM_VDF
ECB,DPM_ROL,Mapping of Role in the contract,E,DPM_ROL,,DPM_ROL,DPM_ROL
ECB,DPM_TSS,Mapping of Type of service received (Code list),E,DPM_TSS,,DPM_TSS,DPM_TSS
ECB,DPM_MCR,Mapping of Exclusion from Bail-in,E,DPM_MCR,,DPM_MCR,DPM_MCR
ECB,DPM_TCV,Mapping of Type of coverage of deposits by a DGS,E,DPM_TCV,,DPM_TCV,DPM_TCV
ECB,DPM_ORI,Mapping of Original maturity,E,DPM_ORI,,DPM_ORI,DPM_ORI
ECB,DPM_RPR_RES,Mapping of Related parties/Relationships,E,DPM_RPR_RES,,DPM_RPR_RES,DPM_RPR_RES
ECB,DPM_SUB_RES,Mapping of Subordinated,E,DPM_SUB_RES,,DPM_SUB_RES,DPM_SUB_RES
ECB,DPM_MRE,Mapping of Eligibility for MREL,E,DPM_MRE,,DPM_MRE,DPM_MRE
ECB,DPM_BAS_RES,Mapping of Base,E,DPM_BAS_RES,,DPM_BAS_RES,DPM_BAS_RES
ECB,DPM_RPR_Z02,Mapping of Related parties/Relationships for the template Z02,E,DPM_RPR_Z02,,DPM_RPR_Z02,DPM_RPR_Z02
ECB,DPM_CPS_CPY_CPZ,"Mapping of Counterparty sector, Counterparty nature, Size of the counterparty",E,DPM_CPS_CPY_CPZ,,DPM_CPS_CPY_CPZ,DPM_CPS_CPY_CPZ
ECB,DPM_RES,Mapping of Residual maturity,E,DPM_RES,,DPM_RES,DPM_RES
ECB,DPM_BAS_MCB_MRE_SEL_MCY,"Mapping of Base, Main category, Instrument, Governed by law of an EU Member State, Eligibility for MREL",E,DPM_BAS_MCB_MRE_SEL_MCY,,DPM_BAS_MCB_MRE_SEL_MCY,DPM_BAS_MCB_MRE_SEL_MCY
ECB,DPM_CRH,Mapping of Critical function (CF to LE),E,DPM_CRH,,DPM_CRH,DPM_CRH
ECB,DPM_CIG,Mapping of Country of incorporation of guarantor,E,DPM_CIG,,DPM_CIG,DPM_CIG
