VARIABLE_MAPPING_ID,MAINTENANCE_AGENCY_ID,CODE,NAME
DPM_ei562,ECB,DPM_ei562,Mapping of Name of Deposit Guarantee Scheme (DGS)
DPM_ei566,ECB,DPM_ei566,Mapping of Degree of impact on market
DPM_ei567,ECB,DPM_ei567,Mapping of Degree of substitutability
DPM_ei572,ECB,DPM_ei572,Mapping of Estimated time for substitutability
DPM_ei573,ECB,DPM_ei573,Mapping of Estimated time for access to contracts
DPM_ei574,ECB,DPM_ei574,Mapping of Is resolution-proof contract
DPM_ei575,ECB,DPM_ei575,Mapping of FMI system type
DPM_ei578,ECB,DPM_ei578,Mapping of Mode of participation in FMI
DPM_ei581,ECB,DPM_ei581,Mapping of Country the law of which governs access to the FMI
DPM_ei584,ECB,DPM_ei584,Mapping of Type of information system
DPM_ei600,ECB,DPM_ei600,Mapping of Country the law of which governs the contract / master agreement
DPM_ei634,ECB,DPM_ei634,Mapping of Location of critical function
DPM_ei635,ECB,DPM_ei635,Mapping of Critical function ID
DPM_BAS_CLS_CTL_CIR_CPY_MCB_MCY_OFS,ECB,DPM_BAS_CLS_CTL_CIR_CPY_MCB_MCY_OFS,"Mapping of Base, Main category, Own funds, Collateral status, Counterparty nature, Creditor / Insolvency ranking, Instrument, Collateralisation level"
DPM_CRL,ECB,DPM_CRL,Mapping of Critical function (IS to LE and CF)
DPM_BAS_MCY_OFS,ECB,DPM_BAS_MCY_OFS,"Mapping of Base, Main category, Own funds"
DPM_BAS_MCY_CNO_MCI_RPR,ECB,DPM_BAS_MCY_CNO_MCI_RPR,"Mapping of Base, Main category, Controlling and non-controlling owners, Main category provided of Investee, Related parties/Relationships"
DPM_MCY_RES,ECB,DPM_MCY_RES,Mapping of Main category
DPM_GTR,ECB,DPM_GTR,Mapping of Guarantor
DPM_COM,ECB,DPM_COM,Mapping of Type of financial interconnection
DPM_BAS_MCY_RES,ECB,DPM_BAS_MCY_RES,"Mapping of Base, Main category"
DPM_VDF,ECB,DPM_VDF,Mapping of Factors considered in the valuation of derivatives
DPM_ROL,ECB,DPM_ROL,Mapping of Role in the contract
DPM_TSS,ECB,DPM_TSS,Mapping of Type of service received (Code list)
DPM_MCR,ECB,DPM_MCR,Mapping of Exclusion from Bail-in
DPM_TCV,ECB,DPM_TCV,Mapping of Type of coverage of deposits by a DGS
DPM_ORI,ECB,DPM_ORI,Mapping of Original maturity
DPM_RPR_RES,ECB,DPM_RPR_RES,Mapping of Related parties/Relationships
DPM_SUB_RES,ECB,DPM_SUB_RES,Mapping of Subordinated
DPM_MRE,ECB,DPM_MRE,Mapping of Eligibility for MREL
DPM_BAS_RES,ECB,DPM_BAS_RES,Mapping of Base
