CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Equity instruments instrument:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Equity instruments instrument,2326,1036
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Equity instruments instrument:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Equity instruments instrument,2325,1029
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Finance leases:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Finance leases,2326,1036
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Finance leases:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Finance leases,2325,1029
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice,2326,1036
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice,2325,1029
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans,2326,1036
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans,2325,1029
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Reverse repurchase agreements:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Reverse repurchase agreements,2326,1036
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Reverse repurchase agreements:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Reverse repurchase agreements,2325,1029
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Trade receivables:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Trade receivables,2326,1036
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Trade receivables:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Trade receivables,2325,1029
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans,2320,1088
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans,2327,1164
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt,2320,1088
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt,2327,1164
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument,2320,1088
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument,2327,1164
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2320,1088
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2327,1164
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2320,1088
